id,name,launch_designator,net,window_start,window_end,status.id,status.name,status.abbrev,failreason,launch_service_provider.id,launch_service_provider.name,launch_service_provider.type.name,rocket.configuration.id,rocket.configuration.name,rocket.configuration.full_name,rocket.configuration.variant,rocket.configuration.reusable,rocket.configuration.manufacturer.id,rocket.configuration.manufacturer.name,rocket.configuration.min_stage,rocket.configuration.max_stage,rocket.configuration.length,rocket.configuration.diameter,rocket.configuration.launch_mass,rocket.configuration.to_thrust,rocket.configuration.leo_capacity,rocket.configuration.gto_capacity,rocket.configuration.geo_capacity,rocket.configuration.sso_capacity,rocket.configuration.apogee,mission.id,mission.name,mission.type,mission.description,mission.orbit.id,mission.orbit.name,mission.orbit.abbrev,pad.id,pad.name,pad.latitude,pad.longitude,rocket.launcher_stage,rocket.spacecraft_stage,rocket.payloads,timeline,updates,flightclub_url,info_urls,vid_urls
9279744e-46b2-4eca-adea-f1379672ec81,Atlas LV-3A | Samos 2,1961-001,1961-01-31T20:21:19Z,1961-01-31T20:21:19Z,1961-01-31T20:21:19Z,3,Launch Successful,Success,,161,United States Air Force,Government,183,Atlas Agena B,Atlas LV-3 Agena B,LV-3 Agena B,False,161,United States Air Force,,,20.27,3.05,130.0,363.0,,,,,,,,,,,,,93,Space Launch Complex 3W,34.644,-120.593,[],[],[],[],[],,[],[]
a5cfc4dc-c31a-4676-8614-e8eb8b84010a,Thor DM-21 Agena-B | KH-5 1,1961-005,1961-02-17T20:25:02Z,1961-02-17T20:25:02Z,1961-02-17T20:25:02Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,1391.0,KH-5 1,Government/Top Secret,"KH-5 (Keyhole 5, codenamed Argon) was the area survey component of the Corona program.",8.0,Low Earth Orbit,LEO,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
bc175a72-2476-41b1-a998-694a3bb75ff8,Thor DM-21 Agena-B | Discoverer 21 (MIDAS RM-2),1961-006,1961-02-18T22:57:58Z,1961-02-18T22:57:58Z,1961-02-18T22:57:58Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,96,Space Launch Complex 1E,34.756,-120.6263,[],[],[],[],[],,[],[]
8f46f0c6-b0b8-4440-bd54-d2be03511c78,Thor DM-21 Agena-B | Discoverer 22,,1961-03-30T20:34:43Z,1961-03-30T20:34:43Z,1961-03-30T20:34:43Z,4,Launch Failure,Failure,Second stage failed to achieve orbit.,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
b1a75709-2ff8-497d-aa70-51b38d441cd6,Thor DM-21 Agena-B | KH-5 2,1961-011,1961-04-08T19:21:08Z,1961-04-08T19:21:08Z,1961-04-08T19:21:08Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,1392.0,KH-5 2,Government/Top Secret,"KH-5 (Keyhole 5, codenamed Argon) was the area survey component of the Corona program.",8.0,Low Earth Orbit,LEO,96,Space Launch Complex 1E,34.756,-120.6263,[],[],[],[],[],,[],[]
d94bf87d-b0eb-4935-8143-e8749e424d5c,Thor DM-21 Agena-B | KH-5 3,,1961-06-08T21:16:00Z,1961-06-08T21:16:00Z,1961-06-08T21:16:00Z,4,Launch Failure,Failure,Power failure.,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,1393.0,KH-5 3,Government/Top Secret,"KH-5 (Keyhole 5, codenamed Argon) was the area survey component of the Corona program.",8.0,Low Earth Orbit,LEO,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
69c1757e-bb8f-4ce2-a29a-0a4aadb6a2c9,Thor DM-21 Agena-B | Discoverer 25,1961-014,1961-06-16T23:02:52Z,1961-06-16T23:02:52Z,1961-06-16T23:02:52Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,98,Space Launch Complex 2E,34.7516,-120.6192,[],[],[],[],[],,[],[]
8c4ef44b-a0ad-486f-b71a-f178017c6a2e,Thor DM-21 Agena-B | Discoverer 26,1961-016,1961-07-07T23:29:48Z,1961-07-07T23:29:48Z,1961-07-07T23:29:48Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,96,Space Launch Complex 1E,34.756,-120.6263,[],[],[],[],[],,[],[]
ab40c85f-c07c-4735-ae84-ba41dca2569e,Atlas LV-3A | MIDAS 3,1961-018,1961-07-12T15:11:46Z,1961-07-12T15:11:46Z,1961-07-12T15:11:46Z,3,Launch Successful,Success,,161,United States Air Force,Government,183,Atlas Agena B,Atlas LV-3 Agena B,LV-3 Agena B,False,161,United States Air Force,,,20.27,3.05,130.0,363.0,,,,,,,,,,,,,24,Space Launch Complex 3E,34.64,-120.5895,[],[],[],[],[],,[],[]
5c685372-5050-401f-9d06-cf03a5ec4fa0,Thor DM-21 Agena-B | KH-5 4,,1961-07-21T22:35:00Z,1961-07-21T22:35:00Z,1961-07-21T22:35:00Z,4,Launch Failure,Failure,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,1394.0,KH-5 4,Government/Top Secret,"KH-5 (Keyhole 5, codenamed Argon) was the area survey component of the Corona program.",8.0,Low Earth Orbit,LEO,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
b7e331d8-dece-4041-8261-979f542f38de,Thor DM-21 Agena-B | Discoverer 28,,1961-08-04T00:01:00Z,1961-08-04T00:01:00Z,1961-08-04T00:01:00Z,4,Launch Failure,Failure,Second stage control system malfunction.,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,,,,,,,,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
